model,f1_0,f1_1,f1_2,avg_f1
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9804309606552124,0.7734886407852173,0.7086758017539978,0.8208651542663574
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9710155129432678,0.754035234451294,0.5773030519485474,0.767451286315918
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-05_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9832865595817566,0.7997251152992249,0.7098084092140198,0.8309400081634521
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-05_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9804704189300536,0.8122237920761108,0.6449013352394104,0.8125318288803101
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-05_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9824779033660888,0.7900420427322388,0.7118238210678101,0.8281146287918091
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-05_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9796257615089417,0.7878612875938416,0.6683348417282104,0.8119406700134277
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-02_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9767978191375732,0.7284398674964905,0.6742231845855713,0.7931536436080933
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-02_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9881539344787598,0.8694813847541809,0.7322311401367188,0.8632888197898865
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-02_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9843355417251588,0.8177088499069214,0.700638473033905,0.8342275619506836
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-02_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9877728819847108,0.7689241766929626,0.5675569772720337,0.7747513651847839
